site,quadrat,grass.height1,grass.height2,grass.height3,grass.height4,mean.grass.height
L1,1,7,14,15,11,11.75
L1,2,11,13,11,10,11.25
L1,3,8,14,10,6,9.5
L1,4,8,8,8,9,8.25
L1,5,0,0,7,8,3.75
L1,6,5,8,10,8,7.75
L1,7,7,6,10,11,8.5
L1,8,5,4,3,8,5
L1,9,7,7,6,9,7.25
L1,10,12,10,12,9,10.75
L1,11,13,12,13,8,11.5
L1,12,12,4,9,8,8.25
L1,13,8,16,9,10,10.75
L1,14,11,6,11,10,9.5
L1,15,13,13,21,13,15
L2,1,12,10,14,13,12.25
L2,2,6,11,9,0,6.5
L2,3,20,8,18,15,15.25
L2,4,11,20,14,9,13.5
L2,5,7,10,11,9,9.25
L2,6,7,16,16,20,14.75
L2,7,12,13,10,20,13.75
L2,8,20,21,8,12,15.25
L2,9,5,25,16,18,16
L2,10,14,20,16,15,16.25
L2,11,20,9,26,12,16.75
L2,12,19,10,16,19,16
L2,13,26,9,17,6,14.5
L2,14,14,10,15,18,14.25
L2,15,26,20,20,22,22
L3,1,2,3,3,3,2.75
L3,2,5,4,4,4,4.25
L3,3,7,5,3,5,5
L3,4,6,5,10,5,6.5
L3,5,4,6,6,5,5.25
L3,6,5,5,4,5,4.75
L3,7,3,4,5,3,3.75
L3,8,6,5,5,5,5.25
L3,9,2,3,3,4,3
L3,10,4,4,5,8,5.25
L3,11,3,3,5,8,4.75
L3,12,4,6,9,6,6.25
L3,13,4,2,3,5,3.5
L3,14,4,3,7,8,5.5
L3,15,2,5,5,3,3.75
L4,1,17,19,10,25,17.75
L4,2,17,37,35,22,27.75
L4,3,32,40,10,35,29.25
L4,4,24,25,22,25,24
L4,5,42,44,30,20,34
L4,6,38,32,30,50,37.5
L4,7,40,35,35,30,35
L4,8,28,24,20,30,25.5
L4,9,10,11,15,12,12
L4,10,30,32,35,25,30.5
L4,11,25,36,30,28,29.75
L4,12,30,36,30,28,31
L4,13,38,37,42,22,34.75
L4,14,20,10,10,20,15
L4,15,17,28,20,25,22.5
L5,1,2,3,4,5,3.5
L5,2,4,3,4,4,3.75
L5,3,7,5,4,5,5.25
L5,4,4,4,5,5,4.5
L5,5,2,6,7,4,4.75
L5,6,3,3,4,4,3.5
L5,7,5,5,2,5,4.25
