site,sample,samplecat,urban,city,daterun,alaphe,gluphe,ala,val,leu,gly,nle,pro,asp,glu,phe
L1,1,a,89,liverpool,11/12/2023,2.964366197,1.799383562,10.759,8.511,3.1135,2.236,17.839,3.8395,10.913,3.6475,4.112
L10,1,a,83,liverpool,09/01/2024,2.763028169,1.621849315,12.875,12.9285,7.113,6.0735,19.95,10.017,14.8215,5.897,7.6575
L13,1,a,73,liverpool,10/01/2024,3.076549296,2.416780822,8.0175,-6.9055,0.591,2.352,17.5165,4.104,9.1725,4.6165,0.574
L14,1,a,66,liverpool,10/01/2024,2.917112676,2.281575342,8.3575,-9.3165,1.4325,1.6965,18.824,5.1455,8.3855,5.1015,2.046
L16,1,b,51,liverpool,14/03/2024,2.973309859,2.020890411,11.114,6.396,5.788,4.7045,15.3925,11.9865,11.063,5.556,4.4035
L16,4,b,51,liverpool,19/03/2024,2.48415493,2.053561644,8.2485,-0.491,4.816,4.0185,15.3095,10.788,8.733,6.402,5.011
L16,5,b,51,liverpool,19/03/2024,2.557605634,1.962191781,10.9195,2.326,7.2455,5.7575,16.316,12.981,10.797,7.8845,7.1605
L16,6,b,51,liverpool,19/03/2024,2.854014085,2.266849315,9.2745,-1.731,5.882,4.4005,15.81,11.031,8.964,6.359,3.411
L17,1,a,56,liverpool,10/01/2024,3.013309859,2.319109589,11.996,-2.454,5.4805,6,20.171,9.801,12.5345,8.331,5.0015
L18,1,a,59,liverpool,16/11/2023,2.918521127,2.655890411,8.672,1.0455,5.0065,5.092,17.5275,6.727,8.477,8.1385,2.3505
L18,2,a,59,liverpool,16/11/2023,3.271197183,2.631849315,10.799,-0.526,5.0665,4.727,16.9705,6.5745,8.844,7.586,1.9735
L19,1,a,52,liverpool,11/12/2023,3.471830986,1.93260274,15.0795,-0.08,6.908,6.414,17.282,8.366,13.2335,5.3375,4.8295
L19,2,a,52,liverpool,12/12/2023,3.131690141,1.919520548,13.7245,14.498,3.6195,4.8895,23.7615,8.559,14.6035,6.302,5.8895
L2,1,a,96,liverpool,11/12/2023,2.913521127,1.56739726,14.2905,-0.0515,7.298,6.217,18.3295,7.1785,13.9325,5.8465,8.0045
L20,1,b,59,liverpool,12/12/2023,2.906901408,2.230684932,11.285,11.4365,2.6795,3.512,20.6295,7.71,11.229,7.73,5.046
